,Correlations,Quantity,Name,Centrality,Length
0,0.04685143117738662,Torsion,Curve 0,max,Length 100
1,0.24036352386046392,Curvature,Curve 0,max,Length 100
2,0.3764610912752146,Density,Curve 0,max,Length 100
0,0.1654279179470398,Torsion,Curve 0,linear,Length 100
1,0.1686686575428254,Curvature,Curve 0,linear,Length 100
2,0.35532178400291015,Density,Curve 0,linear,Length 100
0,0.09558082981334144,Torsion,Curve 1,max,Length 100
1,-0.028597855559002724,Curvature,Curve 1,max,Length 100
2,0.1770480640950733,Density,Curve 1,max,Length 100
0,0.1443830818027215,Torsion,Curve 1,linear,Length 100
1,0.03527934139680625,Curvature,Curve 1,linear,Length 100
2,0.08474783469266424,Density,Curve 1,linear,Length 100
0,0.01986039896038892,Torsion,Curve 2,max,Length 100
1,-0.2020474136391582,Curvature,Curve 2,max,Length 100
2,0.5862928696942237,Density,Curve 2,max,Length 100
0,0.030328536977524637,Torsion,Curve 2,linear,Length 100
1,-0.06940238701967805,Curvature,Curve 2,linear,Length 100
2,0.2130790945331713,Density,Curve 2,linear,Length 100
0,-0.009099572490404413,Torsion,Curve 3,max,Length 100
1,-0.10986831566192484,Curvature,Curve 3,max,Length 100
2,0.2953863691212458,Density,Curve 3,max,Length 100
0,-0.10619816490272563,Torsion,Curve 3,linear,Length 100
1,-0.08306625464402627,Curvature,Curve 3,linear,Length 100
2,0.2441940219619284,Density,Curve 3,linear,Length 100
0,0.03419169077485058,Torsion,Curve 4,max,Length 100
1,-0.19696875165003142,Curvature,Curve 4,max,Length 100
2,0.3886111719851936,Density,Curve 4,max,Length 100
0,0.14466094532754156,Torsion,Curve 4,linear,Length 100
1,-0.09451419218988479,Curvature,Curve 4,linear,Length 100
2,0.1964837744114736,Density,Curve 4,linear,Length 100
0,0.020916568184724493,Torsion,Curve 5,max,Length 100
1,0.018008705438121508,Curvature,Curve 5,max,Length 100
2,0.38440176663693165,Density,Curve 5,max,Length 100
0,0.08969546193702668,Torsion,Curve 5,linear,Length 100
1,-0.12691717698775823,Curvature,Curve 5,linear,Length 100
2,0.014937386622511688,Density,Curve 5,linear,Length 100
0,-0.12820721855281125,Torsion,Curve 6,max,Length 100
1,-0.14858334138783033,Curvature,Curve 6,max,Length 100
2,0.4609919489543177,Density,Curve 6,max,Length 100
0,-0.04213191024757225,Torsion,Curve 6,linear,Length 100
1,-0.0018402286242750444,Curvature,Curve 6,linear,Length 100
2,0.531275657482291,Density,Curve 6,linear,Length 100
0,-0.04507264270445499,Torsion,Curve 7,max,Length 100
1,-0.0367181918733901,Curvature,Curve 7,max,Length 100
2,0.1201611828054451,Density,Curve 7,max,Length 100
0,-0.005287897541775526,Torsion,Curve 7,linear,Length 100
1,-0.0339592644783657,Curvature,Curve 7,linear,Length 100
2,-0.33632636868775334,Density,Curve 7,linear,Length 100
0,0.14469675852838002,Torsion,Curve 8,max,Length 100
1,-0.16948862653570854,Curvature,Curve 8,max,Length 100
2,0.22770392928873348,Density,Curve 8,max,Length 100
0,0.0686370712457457,Torsion,Curve 8,linear,Length 100
1,-0.08587960640888147,Curvature,Curve 8,linear,Length 100
2,0.00776078072285852,Density,Curve 8,linear,Length 100
0,0.23379320587340266,Torsion,Curve 9,max,Length 100
1,-0.23551045388106084,Curvature,Curve 9,max,Length 100
2,0.2574582320931688,Density,Curve 9,max,Length 100
0,0.03719487836618451,Torsion,Curve 9,linear,Length 100
1,-0.10042226608165898,Curvature,Curve 9,linear,Length 100
2,0.18469105622168844,Density,Curve 9,linear,Length 100
0,0.09087980317833183,Torsion,Curve 10,max,Length 100
1,-0.13147152208334184,Curvature,Curve 10,max,Length 100
2,0.20188349621706408,Density,Curve 10,max,Length 100
0,0.09792899600965214,Torsion,Curve 10,linear,Length 100
1,0.02924225559344358,Curvature,Curve 10,linear,Length 100
2,-0.04856718514984146,Density,Curve 10,linear,Length 100
0,0.16066172454200284,Torsion,Curve 11,max,Length 100
1,-0.22560139288239484,Curvature,Curve 11,max,Length 100
2,0.37248341885510655,Density,Curve 11,max,Length 100
0,-0.004829502666146287,Torsion,Curve 11,linear,Length 100
