,Correlations,Quantity,Name,Length
0,0.0406505931796552,Torsion,Curve 0,Length 100
1,0.1743948374928641,Curvature,Curve 0,Length 100
2,0.4763344787740773,Density,Curve 0,Length 100
6,0.1161725181819761,Torsion,Curve 1,Length 100
7,-0.0610268242781302,Curvature,Curve 1,Length 100
8,0.0760622268959661,Density,Curve 1,Length 100
12,0.0680680931463031,Torsion,Curve 2,Length 100
13,-0.2248554314209514,Curvature,Curve 2,Length 100
14,0.548857555767272,Density,Curve 2,Length 100
18,0.0096684352946424,Torsion,Curve 3,Length 100
19,-0.0657176893349931,Curvature,Curve 3,Length 100
20,0.2443573781756253,Density,Curve 3,Length 100
24,0.069838312625505,Torsion,Curve 4,Length 100
25,-0.2059476702054741,Curvature,Curve 4,Length 100
26,0.5019337800862198,Density,Curve 4,Length 100
30,0.198869659671854,Torsion,Curve 5,Length 100
31,-0.0273937109336066,Curvature,Curve 5,Length 100
32,0.1720684981059327,Density,Curve 5,Length 100
36,-0.0152836320442454,Torsion,Curve 6,Length 100
37,-0.1202615622137944,Curvature,Curve 6,Length 100
38,0.4898553570060138,Density,Curve 6,Length 100
42,-0.0170622971487178,Torsion,Curve 7,Length 100
43,-0.0895404742152194,Curvature,Curve 7,Length 100
44,0.2460480133682,Density,Curve 7,Length 100
48,-0.0112025640268684,Torsion,Curve 8,Length 100
49,-0.1931525810151393,Curvature,Curve 8,Length 100
50,0.4382367478944282,Density,Curve 8,Length 100
54,0.2302985680559159,Torsion,Curve 9,Length 100
55,-0.2595351416788924,Curvature,Curve 9,Length 100
56,0.4101279355119254,Density,Curve 9,Length 100
60,0.0769946389603161,Torsion,Curve 10,Length 100
61,-0.3366897857097913,Curvature,Curve 10,Length 100
62,0.4449327265451014,Density,Curve 10,Length 100
66,0.1633109992947714,Torsion,Curve 11,Length 100
67,-0.1871738486478972,Curvature,Curve 11,Length 100
68,0.5275661867586672,Density,Curve 11,Length 100
72,0.0577406790841426,Torsion,Curve 12,Length 100
73,-0.1170420277223859,Curvature,Curve 12,Length 100
74,0.3547506214993083,Density,Curve 12,Length 100
78,-0.0463382897201451,Torsion,Curve 13,Length 100
79,-0.000144840434295,Curvature,Curve 13,Length 100
80,0.5390120612506791,Density,Curve 13,Length 100
84,0.1075651118776203,Torsion,Curve 14,Length 100
85,-0.1987296227510428,Curvature,Curve 14,Length 100
86,0.0422829356622734,Density,Curve 14,Length 100
90,0.1637462969464511,Torsion,Curve 15,Length 100
91,-0.3008228497319957,Curvature,Curve 15,Length 100
92,0.4011593958043299,Density,Curve 15,Length 100
96,0.1274145270721628,Torsion,Curve 16,Length 100
97,-0.1516828707812183,Curvature,Curve 16,Length 100
98,0.1275917098877522,Density,Curve 16,Length 100
102,0.1970504499143551,Torsion,Curve 17,Length 100
103,-0.2040126481638797,Curvature,Curve 17,Length 100
104,0.460968460687853,Density,Curve 17,Length 100
108,0.2246203195992174,Torsion,Curve 18,Length 100
109,-0.2930231678097277,Curvature,Curve 18,Length 100
110,0.2762390315717814,Density,Curve 18,Length 100
114,0.3115057243519669,Torsion,Curve 19,Length 100
115,-0.1107219444217518,Curvature,Curve 19,Length 100
116,0.4203589066813796,Density,Curve 19,Length 100
120,0.2468290918085575,Torsion,Curve 20,Length 100
121,-0.4457732657771764,Curvature,Curve 20,Length 100
122,0.4308782451237565,Density,Curve 20,Length 100
126,-0.0880538134087546,Torsion,Curve 21,Length 100
127,-0.1997683021591512,Curvature,Curve 21,Length 100
128,0.6061563734788731,Density,Curve 21,Length 100
132,-0.0462733291225241,Torsion,Curve 22,Length 100
133,-0.0539011752456877,Curvature,Curve 22,Length 100
134,0.6104902705816455,Density,Curve 22,Length 100
138,0.1253000810035909,Torsion,Curve 23,Length 100
139,-0.1363032687116246,Curvature,Curve 23,Length 100
140,0.0244001140720497,Density,Curve 23,Length 100
144,0.1338757791740538,Torsion,Curve 24,Length 100
145,-0.1791679550622431,Curvature,Curve 24,Length 100
146,0.199385490641741,Density,Curve 24,Length 100
150,0.1669201032597566,Torsion,Curve 25,Length 100
151,-0.1505950076732352,Curvature,Curve 25,Length 100
152,0.2022447291075113,Density,Curve 25,Length 100
156,0.0066306280610866,Torsion,Curve 26,Length 100
157,-0.114021219753815,Curvature,Curve 26,Length 100
158,0.3134912009823962,Density,Curve 26,Length 100
162,0.0337932338547643,Torsion,Curve 27,Length 100
163,0.0105691951302828,Curvature,Curve 27,Length 100
164,0.5601251340132494,Density,Curve 27,Length 100
168,0.0599251274891099,Torsion,Curve 28,Length 100
169,-0.2461068586816152,Curvature,Curve 28,Length 100
170,0.3471306011719995,Density,Curve 28,Length 100
174,0.2080086938896227,Torsion,Curve 29,Length 100
175,-0.2078257925786037,Curvature,Curve 29,Length 100
176,0.2396999941737816,Density,Curve 29,Length 100
180,0.1510938010385595,Torsion,Curve 30,Length 100
181,-0.405080266723387,Curvature,Curve 30,Length 100
182,0.3670999408667626,Density,Curve 30,Length 100
186,0.0563173403922253,Torsion,Curve 31,Length 100
187,-0.1560301966259242,Curvature,Curve 31,Length 100
188,0.2896799516225244,Density,Curve 31,Length 100
192,0.2035944243246001,Torsion,Curve 32,Length 100
193,-0.2678982076923109,Curvature,Curve 32,Length 100
194,0.1995695959651412,Density,Curve 32,Length 100
198,0.1964733700170185,Torsion,Curve 33,Length 100
199,-0.0198114115356994,Curvature,Curve 33,Length 100
200,0.2485013830780407,Density,Curve 33,Length 100
204,0.070889541091806,Torsion,Curve 34,Length 100
205,-0.1818339012316,Curvature,Curve 34,Length 100
206,0.5799345289189373,Density,Curve 34,Length 100
210,0.242414877166391,Torsion,Curve 35,Length 100
211,-0.2112579513314582,Curvature,Curve 35,Length 100
212,0.2328391011496252,Density,Curve 35,Length 100
216,-0.0016764927665712,Torsion,Curve 36,Length 100
217,-0.1720025145879496,Curvature,Curve 36,Length 100
218,0.7307238463932482,Density,Curve 36,Length 100
